sample,day_count,expiry_assumption,expiry_adjustment_days,maturity_lower_days,maturity_upper_days,volume_threshold,observations,currencies,first_date,last_date,corr,rmse,mean_gap,median_gap,std_gap,abs_median_gap
advanced,365,third_wednesday,0,60,80,5000,172,7,2010-03-31,2025-06-30,0.7744032606,1.207973871,-0.01705671384,0.0883929177,1.21138003,0.0883929177
advanced,365,last_trade_monday,-2,75,95,10000,242,7,2011-06-30,2025-06-30,0.8235633085,1.209349359,0.5336662165,0.2627827678,1.087480149,0.2627827678
advanced,360,last_trade_friday,-5,70,95,50000,160,6,2010-03-31,2024-06-30,0.7639914506,1.216476395,0.4412625844,0.1637244879,1.137182727,0.1637244879
advanced,360,last_trade_friday,-5,70,90,50000,160,6,2010-03-31,2024-06-30,0.7639914506,1.216476395,0.4412625844,0.1637244879,1.137182727,0.1637244879
advanced,365,third_wednesday,0,60,80,2500,180,7,2010-03-31,2025-06-30,0.7658332505,1.216721846,-0.008012347812,0.09050109748,1.220089321,0.09050109748
advanced,360,third_wednesday,0,75,95,1000,342,7,2010-03-31,2025-06-30,0.8090301873,1.21885145,0.522425752,0.2904730701,1.102826554,0.2904730701
advanced,365,third_wednesday,0,75,95,1000,342,7,2010-03-31,2025-06-30,0.8090301873,1.221175935,0.5245577187,0.3060133397,1.1043895,0.3060133397
advanced,365,last_trade_friday,-5,70,95,50000,160,6,2010-03-31,2024-06-30,0.7639914506,1.221837251,0.4485354727,0.1718463421,1.140099167,0.1718463421
advanced,365,last_trade_friday,-5,70,90,50000,160,6,2010-03-31,2024-06-30,0.7639914506,1.221837251,0.4485354727,0.1718463421,1.140099167,0.1718463421
advanced,360,last_trade_monday,-2,75,95,5000,252,7,2011-06-30,2025-06-30,0.8220711886,1.225163531,0.5597942528,0.27907759,1.091965095,0.27907759
advanced,360,last_trade_monday,-2,75,95,2500,258,7,2011-06-30,2025-06-30,0.8181766904,1.22612108,0.5588603121,0.2968737328,1.093472671,0.2968737328
advanced,365,last_trade_monday,-2,75,95,5000,252,7,2011-06-30,2025-06-30,0.8220711886,1.227800996,0.560917032,0.281419496,1.094358181,0.281419496
advanced,360,third_wednesday,0,50,95,10000,375,7,2010-03-31,2025-06-30,0.7846251246,1.227984847,0.3520194736,0.1975051293,1.178019392,0.1975051293
